GID;FROM;TO;EROSIORATE(cm/y);Periode
209;8292;8395;2.47167458;2006 – 2015;
209;8435;8446;9.799303188;2006 – 2015;
209;8446;8497;2.792103554;2006 – 2015;
209;8497;8702;1.387438082;2006 – 2015;
209;8702;8800;9.255662373;2006 – 2015;
209;8800;8926;-8.3442374;2006 – 2015;
209;8926;8952;2.102655584;2006 – 2015;
216;0;159;-5.05425084;2006 – 2015;
216;159;239;-9.16839652;2006 – 2015;
216;239;337;-2.55518876;2006 – 2015;
216;337;438;0.463840342;2006 – 2015;
216;438;735;4.902438992;2006 – 2015;
216;791;1233;2.797383662;2006 – 2015; 
216;1233;1567;0.186170718;2006 – 2015;
216;1567;1576;8.297378085;2006 – 2015;
216;1576;1728;1.28644469;2006 – 2015;
216;1728;1927;0.381712121;2006 – 2015;
216;1927;2048;-7.08920061;2006 – 2015;
216;2048;2128;-0.28485483;2006 – 2015;
216;2128;2228;2.056812223;2006 – 2015;
216;2228;2295;3.390333413;2006 – 2015;
216;2295;2425;-7.32687073;2006 – 2015;
216;2425;2525;4.702777473;2006 – 2015;
216;2525;2621;2.859371144;2006 – 2015;
216;2621;2836;1.752041803;2006 – 2015;
216;2836;3218;0.586114872;2006 – 2015;
216;3218;3415;1.715562318;2006 – 2015;
216;3415;3514;0.297492954;2006 – 2015;
216;3514;3636;-2.86337104;2006 – 2015;
216;3636;3716;-0.21685087;2006 – 2015;
216;3716;3815;-2.53178378;2006 – 2015;
216;3815;4115;0.42446372;2006 – 2015;
216;4115;4708;3.201980947;2006 – 2015;
216;4708;4808;1.264943978;2006 – 2015;
216;4808;4895;3.748278446;2006 – 2015;
216;4895;4955;1.752474629;2006 – 2015;
216;4955;5305;0.760339196;2006 – 2015;
216;5305;5404;2.21919059;2006 – 2015;
216;5404;5701;0.62348224;2006 – 2015;
216;5701;5899;1.771764952;2006 – 2015;
216;5899;6099;2.865874742;2006 – 2015;
216;6099;6397;1.428489699;2006 – 2015;
216;6397;6557;2.878431265;2006 – 2015;
216;6557;6595;0.401269102;2006 – 2015;
216;6595;6695;1.869719665;2006 – 2015;
216;6695;6802;4.203298656;2006 – 2015;
216;6802;6906;-2.20759832;2006 – 2015;
216;6906;7004;0.786859944;2006 – 2015;
216;7004;7201;2.847613023;2006 – 2015;
216;7201;7299; 1.376676372;2006 – 2015;
216;7299;7409;-2.23619922;2006 – 2015;
216;7409;7504;1.226039603;2006 – 2015;
216;7504;7833;2.780301606;2006 – 2015;
216;7833;7890;-2.92261593;2006 – 2015;
216;7890;7996;-0.3066741;2006 – 2015;
216;7996;8992;0.52413826;2006 – 2015;
